release,build,timestamp,pdf_library,source_file,source_size_bytes,preset,compressed_size_bytes,compression_time_ms,compression_ratio
v2.10,9239dd9,2026-01-18 12:38:02,ghostscript-10.05.0,2025-05-08-Writer.AI+DR.pdf,12041313,tiny,742803,4974,0.0617
v2.10,9239dd9,2026-01-18 12:38:02,ghostscript-10.05.0,2025-05-08-Writer.AI+DR.pdf,12041313,small,1502808,5689,0.1248
v2.10,9239dd9,2026-01-18 12:38:02,ghostscript-10.05.0,2025-05-08-Writer.AI+DR.pdf,12041313,medium,3862233,5845,0.3207
v2.10,9239dd9,2026-01-18 12:38:02,ghostscript-10.05.0,2025-05-08-Writer.AI+DR.pdf,12041313,large,7897759,5392,0.6559
v2.10,9239dd9,2026-01-18 12:38:02,ghostscript-10.05.0,2025-05-08-Writer.AI+DR.pdf,12041313,xlarge,9727611,4783,0.8079
v2.10,9239dd9,2026-01-18 12:38:02,ghostscript-10.05.0,2025-05-08-Writer.AI+DR.pdf,12041313,grayscale,3558776,40459,0.2955
v2.10,9239dd9,2026-01-18 12:38:02,ghostscript-10.05.0,2025-05-08-Writer.AI+DR.pdf,12041313,web,1504397,5495,0.1249
v2.10,9239dd9,2026-01-18 12:38:02,ghostscript-10.05.0,AI-visibility-index.pdf,53387034,tiny,18054161,100977,0.3382
v2.10,9239dd9,2026-01-18 12:38:02,ghostscript-10.05.0,AI-visibility-index.pdf,53387034,small,29007903,105814,0.5434
v2.10,9239dd9,2026-01-18 12:38:02,ghostscript-10.05.0,AI-visibility-index.pdf,53387034,medium,79476586,117371,1.4887
v2.10,9239dd9,2026-01-18 12:38:02,ghostscript-10.05.0,AI-visibility-index.pdf,53387034,large,109410854,113266,2.0494
v2.10,9239dd9,2026-01-18 12:38:02,ghostscript-10.05.0,AI-visibility-index.pdf,53387034,xlarge,147668748,113355,2.7660
